"","TestY",""
"97152",5217.2,5393.52426437944
"97153",5001,4847.02794415041
"97154",4786.4,4978.82630619352
"97155",4638.6,4951.28768703359
"97156",4451.5,4252.66272762309
"97157",4312,4349.76382287651
"97158",4222.4,4176.74921692648
"97159",4120.2,4177.20443852324
"97160",4049,4084.07863842953
"97161",4029.6,3995.0401929605
"97162",3970.8,4035.42901268984
"97163",4080.1,3975.94129811954
"97164",4183,4121.9665399265
"97165",4382.7,4370.58091436156
"97166",4558.9,4530.54964844737
"97167",4670.8,4768.14839790595
"97168",4907.1,4769.19009020661
"97169",5134.6,5035.37547650704
"97170",5309.4,5386.84851394322
"97171",5518.1,5457.98036983857
"97172",5612,5648.41838877413
"97173",5597.1,5729.67827044088
"97174",5514.9,5544.10716973865
"97175",5561.4,5397.97889510614
"97176",5503.1,5526.39866550123
"97177",5443.6,5548.19525304391
"97178",5431.3,5342.87637850683
"97179",5339.6,5415.12699460046
"97180",5448.5,5318.41195858171
"97181",5520.8,5459.71894917934
"97182",5555.3,5711.84221552699
"97183",5634.4,5591.24435368632
"97184",5781.1,5682.92632649439
"97185",5866.9,5920.6165899991
"97186",5983,5996.78840628368
"97187",6169,6041.6101586231
"97188",6472.6,6317.50592639417
"97189",6486.2,6723.23546565992
"97190",6374.6,6617.53100174092
"97191",6189.9,6134.99510906152
"97192",6010.7,5951.99527127489
"97193",5868.7,5779.28846804929
"97194",5690,5699.81739474423
"97195",5573,5526.72115475813
"97196",5418.2,5399.39309301627
"97197",5224.1,5293.65667131332
"97198",5078.4,5019.34131135464
"97199",5189.7,4895.91079593359
"97200",5099.8,5223.08835917827
"97201",4902.4,5201.53546493291
"97202",4717.6,4655.41570886825
"97203",4597,4502.22623042991
"97204",4408.3,4490.75295789011
"97205",4249.4,4312.09916135612
"97206",4132.9,4087.5868303648
"97207",4074,4057.3939206053
"97208",3970.8,4051.97179811247
"97209",3948.6,3946.55670531916
"97210",3964.6,3905.27517946252
"97211",4055.9,4027.99053043357
"97212",4110.8,4148.32534233951
"97213",4244.7,4217.53477238985
"97214",4331.8,4325.12054109029
"97215",4458.1,4461.49007297778
"97216",4671.7,4528.55690503073
